Crop,Disease,Symptoms,Recommended Pesticide,Dosage & Application,Weather Conditions,Recommended_Fertilizer
Groundnut,Root Rot,Small brown or black circular spots,Chlorothalonil,Mix with organic compost and apply near roots,Cold temperature,Urea
Potato,Leaf Spot,Small brown or black circular spots,Trichoderma,Apply when humidity is above 60%,Foggy conditions,General NPK 20-20-20
Rice,Powdery Mildew,Curling and mosaic pattern on leaves,Chlorothalonil,Mix with organic compost and apply near roots,Warm and dry climate,Superphosphate
Soybean,Rust,Stem lesions with hollow decay,Copper Oxychloride,Use 5ml per liter in early morning,Foggy conditions,General NPK 20-20-20
Rice,Root Rot,Drooping leaves with yellow patches,Sulfur Dust,Use every 10 days for effective results,Cold temperature,Urea
Cotton,Blight,White powdery coating on leaves,Chlorothalonil,Mix with organic compost and apply near roots,Hot summer season,Superphosphate
Sugarcane,Blight,Wilting and stunted growth,Carbendazim,Sprinkle powder directly on infected areas,Hot summer season,Superphosphate
Potato,Powdery Mildew,Wilting and stunted growth,Propiconazole,Apply 1.5ml per liter of water weekly,Warm and dry climate,Superphosphate
Cotton,Mosaic Virus,Stem lesions with hollow decay,Neem Oil,Mix with organic compost and apply near roots,Drought conditions,10-10-10 NPK
Cotton,Blight,Irregularly shaped brown blotches,Propiconazole,Mix with organic compost and apply near roots,High humidity,Superphosphate
Barley,Bacterial Wilt,Black lesions on stem and roots,Propiconazole,Spray in low sunlight conditions for best absorption,Warm and dry climate,Urea
Sugarcane,Blight,Drooping leaves with yellow patches,Copper Oxychloride,Spray in low sunlight conditions for best absorption,High humidity,Superphosphate
Wheat,Mosaic Virus,Drooping leaves with yellow patches,Carbendazim,Apply when humidity is above 60%,Warm and dry climate,10-10-10 NPK
Soybean,Blight,Curling and mosaic pattern on leaves,Sulfur Dust,Use every 10 days for effective results,Heavy rainfall,Superphosphate
Wheat,Leaf Spot,Wilting and stunted growth,Chlorothalonil,Use 5ml per liter in early morning,Warm and dry climate,General NPK 20-20-20
Cotton,Rust,Curling and mosaic pattern on leaves,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,Drought conditions,General NPK 20-20-20
Tomato,Bacterial Wilt,Curling and mosaic pattern on leaves,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Urea
Potato,Mosaic Virus,Small brown or black circular spots,Carbendazim,Use every 10 days for effective results,Warm and dry climate,10-10-10 NPK
Groundnut,Stem Rot,Small brown or black circular spots,Propiconazole,Spray in low sunlight conditions for best absorption,Warm and dry climate,Urea
Potato,Rust,Curling and mosaic pattern on leaves,Mancozeb,Apply 1.5ml per liter of water weekly,Hot summer season,General NPK 20-20-20
Potato,Leaf Spot,Drooping leaves with yellow patches,Neem Oil,Apply 1.5ml per liter of water weekly,Drought conditions,General NPK 20-20-20
Soybean,Root Rot,White powdery coating on leaves,Carbendazim,Sprinkle powder directly on infected areas,Foggy conditions,Urea
Wheat,Leaf Spot,Small brown or black circular spots,Chlorothalonil,Dilute with 3 liters of water for every hectare,Low rainfall,General NPK 20-20-20
Groundnut,Blight,Drooping leaves with yellow patches,Copper Oxychloride,Dilute with 3 liters of water for every hectare,Heavy rainfall,Superphosphate
Tomato,Rust,Drooping leaves with yellow patches,Neem Oil,Use 5ml per liter in early morning,Low rainfall,General NPK 20-20-20
Rice,Root Rot,Drooping leaves with yellow patches,Neem Oil,Apply 1.5ml per liter of water weekly,Hot summer season,Urea
Tomato,Mosaic Virus,Drooping leaves with yellow patches,Copper Oxychloride,Sprinkle powder directly on infected areas,Hot summer season,10-10-10 NPK
Sugarcane,Rust,Mold growth on affected areas,Chlorothalonil,Apply when humidity is above 60%,Warm and dry climate,General NPK 20-20-20
Soybean,Mosaic Virus,Mold growth on affected areas,Copper Oxychloride,Dilute with 3 liters of water for every hectare,Heavy rainfall,10-10-10 NPK
Wheat,Rust,Irregularly shaped brown blotches,Trichoderma,Mix 2g per liter of water and spray on affected leaves,Drought conditions,General NPK 20-20-20
Wheat,Root Rot,Black lesions on stem and roots,Chlorothalonil,Spray in low sunlight conditions for best absorption,Foggy conditions,Urea
Tomato,Rust,Black lesions on stem and roots,Propiconazole,Mix with organic compost and apply near roots,Heavy rainfall,General NPK 20-20-20
Barley,Blight,Irregularly shaped brown blotches,Copper Oxychloride,Use 5ml per liter in early morning,Cold temperature,Superphosphate
Sugarcane,Bacterial Wilt,Stem lesions with hollow decay,Chlorothalonil,Sprinkle powder directly on infected areas,Foggy conditions,Urea
Potato,Stem Rot,White powdery coating on leaves,Neem Oil,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Urea
Barley,Root Rot,Irregularly shaped brown blotches,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Low rainfall,Urea
Rice,Blight,Small brown or black circular spots,Chlorothalonil,Sprinkle powder directly on infected areas,Heavy rainfall,Superphosphate
Barley,Powdery Mildew,Black lesions on stem and roots,Sulfur Dust,Mix with organic compost and apply near roots,Warm and dry climate,Superphosphate
Maize,Rust,Wilting and stunted growth,Copper Oxychloride,Use every 10 days for effective results,High humidity,General NPK 20-20-20
Rice,Rust,Stem lesions with hollow decay,Propiconazole,Spray in low sunlight conditions for best absorption,Warm and dry climate,General NPK 20-20-20
Rice,Stem Rot,Curling and mosaic pattern on leaves,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Urea
Maize,Bacterial Wilt,Irregularly shaped brown blotches,Copper Oxychloride,Use 5ml per liter in early morning,High humidity,Urea
Groundnut,Stem Rot,Small brown or black circular spots,Dithane M-45,Sprinkle powder directly on infected areas,Hot summer season,Urea
Potato,Blight,Stem lesions with hollow decay,Dithane M-45,Dilute with 3 liters of water for every hectare,Heavy rainfall,Superphosphate
Cotton,Blight,Small brown or black circular spots,Propiconazole,Use 5ml per liter in early morning,Hot summer season,Superphosphate
Wheat,Rust,Mold growth on affected areas,Sulfur Dust,Use every 10 days for effective results,Foggy conditions,General NPK 20-20-20
Maize,Powdery Mildew,Black lesions on stem and roots,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Superphosphate
Soybean,Blight,Drooping leaves with yellow patches,Copper Oxychloride,Use 5ml per liter in early morning,Low rainfall,Superphosphate
Cotton,Stem Rot,Black lesions on stem and roots,Sulfur Dust,Use every 10 days for effective results,Hot summer season,Urea
Barley,Blight,Small brown or black circular spots,Chlorothalonil,Apply when humidity is above 60%,Warm and dry climate,Superphosphate
Soybean,Root Rot,Wilting and stunted growth,Mancozeb,Use 5ml per liter in early morning,High humidity,Urea
Potato,Blight,Irregularly shaped brown blotches,Dithane M-45,Mix with organic compost and apply near roots,High humidity,Superphosphate
Groundnut,Blight,Black lesions on stem and roots,Neem Oil,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Superphosphate
Potato,Rust,Mold growth on affected areas,Chlorothalonil,Sprinkle powder directly on infected areas,Warm and dry climate,General NPK 20-20-20
Soybean,Bacterial Wilt,Yellowing of leaves with brown spots,Dithane M-45,Mix with organic compost and apply near roots,Cold temperature,Urea
Barley,Powdery Mildew,Yellowing of leaves with brown spots,Propiconazole,Use every 10 days for effective results,Low rainfall,Superphosphate
Potato,Bacterial Wilt,Wilting and stunted growth,Propiconazole,Spray in low sunlight conditions for best absorption,High humidity,Urea
Wheat,Stem Rot,Small brown or black circular spots,Trichoderma,Use 5ml per liter in early morning,Warm and dry climate,Urea
Maize,Leaf Spot,Yellowing of leaves with brown spots,Sulfur Dust,Spray in low sunlight conditions for best absorption,Warm and dry climate,General NPK 20-20-20
Maize,Rust,Yellowing of leaves with brown spots,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Heavy rainfall,General NPK 20-20-20
Soybean,Bacterial Wilt,Mold growth on affected areas,Neem Oil,Mix with organic compost and apply near roots,Warm and dry climate,Urea
Potato,Leaf Spot,Yellowing of leaves with brown spots,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,Hot summer season,General NPK 20-20-20
Wheat,Mosaic Virus,Mold growth on affected areas,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,Low rainfall,10-10-10 NPK
Sugarcane,Stem Rot,Irregularly shaped brown blotches,Propiconazole,Sprinkle powder directly on infected areas,Warm and dry climate,Urea
Wheat,Root Rot,Irregularly shaped brown blotches,Trichoderma,Spray in low sunlight conditions for best absorption,High humidity,Urea
Soybean,Rust,Black lesions on stem and roots,Mancozeb,Use every 10 days for effective results,High humidity,General NPK 20-20-20
Cotton,Stem Rot,Wilting and stunted growth,Trichoderma,Apply when humidity is above 60%,Drought conditions,Urea
Cotton,Rust,Irregularly shaped brown blotches,Propiconazole,Apply 1.5ml per liter of water weekly,High humidity,General NPK 20-20-20
Tomato,Bacterial Wilt,Irregularly shaped brown blotches,Sulfur Dust,Use every 10 days for effective results,Cold temperature,Urea
Cotton,Rust,Yellowing of leaves with brown spots,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,General NPK 20-20-20
Potato,Leaf Spot,Mold growth on affected areas,Dithane M-45,Use every 10 days for effective results,Hot summer season,General NPK 20-20-20
Soybean,Bacterial Wilt,Mold growth on affected areas,Chlorothalonil,Sprinkle powder directly on infected areas,Hot summer season,Urea
Wheat,Leaf Spot,White powdery coating on leaves,Propiconazole,Dilute with 3 liters of water for every hectare,Warm and dry climate,General NPK 20-20-20
Tomato,Leaf Spot,Mold growth on affected areas,Mancozeb,Mix with organic compost and apply near roots,Hot summer season,General NPK 20-20-20
Wheat,Mosaic Virus,White powdery coating on leaves,Trichoderma,Use 5ml per liter in early morning,Hot summer season,10-10-10 NPK
Groundnut,Mosaic Virus,Drooping leaves with yellow patches,Mancozeb,Sprinkle powder directly on infected areas,Cold temperature,10-10-10 NPK
Tomato,Blight,Yellowing of leaves with brown spots,Dithane M-45,Sprinkle powder directly on infected areas,High humidity,Superphosphate
Barley,Powdery Mildew,Yellowing of leaves with brown spots,Dithane M-45,Spray in low sunlight conditions for best absorption,Low rainfall,Superphosphate
Soybean,Powdery Mildew,Wilting and stunted growth,Dithane M-45,Spray in low sunlight conditions for best absorption,Warm and dry climate,Superphosphate
Cotton,Rust,Irregularly shaped brown blotches,Propiconazole,Mix with organic compost and apply near roots,Cold temperature,General NPK 20-20-20
Tomato,Bacterial Wilt,Yellowing of leaves with brown spots,Trichoderma,Use 5ml per liter in early morning,Warm and dry climate,Urea
Tomato,Blight,Stem lesions with hollow decay,Mancozeb,Apply 1.5ml per liter of water weekly,Warm and dry climate,Superphosphate
Barley,Rust,Wilting and stunted growth,Sulfur Dust,Use every 10 days for effective results,Cold temperature,General NPK 20-20-20
Tomato,Mosaic Virus,Irregularly shaped brown blotches,Propiconazole,Use every 10 days for effective results,Cold temperature,10-10-10 NPK
Sugarcane,Leaf Spot,Irregularly shaped brown blotches,Sulfur Dust,Apply 1.5ml per liter of water weekly,Hot summer season,General NPK 20-20-20
Cotton,Bacterial Wilt,Mold growth on affected areas,Neem Oil,Mix with organic compost and apply near roots,Hot summer season,Urea
Tomato,Rust,Black lesions on stem and roots,Mancozeb,Mix with organic compost and apply near roots,High humidity,General NPK 20-20-20
Sugarcane,Root Rot,Irregularly shaped brown blotches,Chlorothalonil,Dilute with 3 liters of water for every hectare,Low rainfall,Urea
Tomato,Mosaic Virus,Black lesions on stem and roots,Chlorothalonil,Dilute with 3 liters of water for every hectare,Hot summer season,10-10-10 NPK
Wheat,Leaf Spot,White powdery coating on leaves,Chlorothalonil,Dilute with 3 liters of water for every hectare,Drought conditions,General NPK 20-20-20
Soybean,Mosaic Virus,Irregularly shaped brown blotches,Dithane M-45,Dilute with 3 liters of water for every hectare,Foggy conditions,10-10-10 NPK
Cotton,Mosaic Virus,Wilting and stunted growth,Neem Oil,Dilute with 3 liters of water for every hectare,Foggy conditions,10-10-10 NPK
Maize,Mosaic Virus,Curling and mosaic pattern on leaves,Sulfur Dust,Use every 10 days for effective results,Hot summer season,10-10-10 NPK
Groundnut,Bacterial Wilt,Wilting and stunted growth,Sulfur Dust,Sprinkle powder directly on infected areas,Drought conditions,Urea
Barley,Mosaic Virus,Irregularly shaped brown blotches,Sulfur Dust,Mix with organic compost and apply near roots,Foggy conditions,10-10-10 NPK
Maize,Leaf Spot,Wilting and stunted growth,Copper Oxychloride,Use every 10 days for effective results,High humidity,General NPK 20-20-20
Groundnut,Root Rot,White powdery coating on leaves,Copper Oxychloride,Use 5ml per liter in early morning,Low rainfall,Urea
Maize,Blight,Small brown or black circular spots,Neem Oil,Apply 1.5ml per liter of water weekly,Warm and dry climate,Superphosphate
Barley,Bacterial Wilt,Yellowing of leaves with brown spots,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Urea
Sugarcane,Leaf Spot,Mold growth on affected areas,Sulfur Dust,Apply when humidity is above 60%,Hot summer season,General NPK 20-20-20
Cotton,Rust,White powdery coating on leaves,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,Cold temperature,General NPK 20-20-20
Maize,Leaf Spot,Curling and mosaic pattern on leaves,Trichoderma,Apply 1.5ml per liter of water weekly,Low rainfall,General NPK 20-20-20
Wheat,Blight,Black lesions on stem and roots,Chlorothalonil,Mix with organic compost and apply near roots,Low rainfall,Superphosphate
Tomato,Stem Rot,Wilting and stunted growth,Sulfur Dust,Apply when humidity is above 60%,Warm and dry climate,Urea
Potato,Rust,Wilting and stunted growth,Dithane M-45,Sprinkle powder directly on infected areas,Warm and dry climate,General NPK 20-20-20
Maize,Rust,Black lesions on stem and roots,Mancozeb,Sprinkle powder directly on infected areas,Warm and dry climate,General NPK 20-20-20
Groundnut,Leaf Spot,Yellowing of leaves with brown spots,Trichoderma,Use 5ml per liter in early morning,Drought conditions,General NPK 20-20-20
Wheat,Root Rot,White powdery coating on leaves,Carbendazim,Apply 1.5ml per liter of water weekly,Heavy rainfall,Urea
Sugarcane,Rust,Black lesions on stem and roots,Trichoderma,Apply 1.5ml per liter of water weekly,Heavy rainfall,General NPK 20-20-20
Sugarcane,Rust,Wilting and stunted growth,Chlorothalonil,Spray in low sunlight conditions for best absorption,Warm and dry climate,General NPK 20-20-20
